date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:00	1338/1338	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2253a-5875ce617f476%22	http://html.lionode.com/korslook/product-details.html	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/product-details.html	(from http://html.lionode.com/korslook/cart.html)
13:58:04	21004/21004	---M--	200	added ('OK')	image/jpeg	etag:%22598e46b8-520c%22	http://html.lionode.com/korslook/images/product/cart2-70x92.jpg	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/product/cart2-70x92.jpg	(from http://html.lionode.com/korslook/cart.html)
13:58:05	206/206	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2003%20Mar%202020%2006:58:06%20GMT	http://html.lionode.com/korslook/images/product/car3-70x92.jpg	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/product/car3-70x92.jpg	(from http://html.lionode.com/korslook/)
13:58:06	1338/1338	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2253a-5875ce617f476%22	http://html.lionode.com/korslook/forgot-password.html	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/forgot-password.html	(from http://html.lionode.com/korslook/checkout.html)
13:58:07	35227/35227	---MCZ	200	added ('OK')	text/css	etag:W/%2259d61c8a-899b%22	http://html.lionode.com/korslook/css/jquery-ui.css	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/css/jquery-ui.css	(from http://html.lionode.com/korslook/grid-view.html)
13:58:07	138204/138204	---M--	200	added ('OK')	application/octet-stream	etag:%2255b79c66-21bdc%22	http://html.lionode.com/korslook/fonts/fontawesome-webfont.ttf?v=4.4.0	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/fonts/fontawesome-webfont93e3.ttf	(from http://html.lionode.com/korslook/css/font-awesome.css)
14:00:15	44740/44740	---M--	200	added ('OK')	image/jpeg	etag:%22598f43a0-aec4%22	http://html.lionode.com/korslook/images/product/left-banner.jpg	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/product/left-banner.jpg	(from http://html.lionode.com/korslook/grid-view.html)
14:00:18	54152/54152	---M--	200	added ('OK')	image/jpeg	etag:%22598e46fa-d388%22	http://html.lionode.com/korslook/images/product/4prod281x366.jpg	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/product/4prod281x366.jpg	(from http://html.lionode.com/korslook/grid-view.html)
14:00:19	64589/64589	---M--	200	added ('OK')	image/jpeg	etag:%22598e4704-fc4d%22	http://html.lionode.com/korslook/images/product/3prod281x366.jpg	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/product/3prod281x366.jpg	(from http://html.lionode.com/korslook/grid-view.html)
14:00:20	37206/37206	---MCZ	200	added ('OK')	text/html	etag:W/%2259d61c08-8c1b%22	http://html.lionode.com/korslook/list-view.html	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/list-view.html	(from http://html.lionode.com/korslook/grid-view.html)
14:00:21	40917/40917	---M--	200	added ('OK')	image/jpeg	etag:%22598e46f4-9fd5%22	http://html.lionode.com/korslook/images/product/5prod281x366.jpg	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/product/5prod281x366.jpg	(from http://html.lionode.com/korslook/grid-view.html)
14:00:25	44693/44693	---M--	200	added ('OK')	image/jpeg	etag:%22598f389a-ae95%22	http://html.lionode.com/korslook/images/product/Category-banner.jpg	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/product/Category-banner.jpg	(from http://html.lionode.com/korslook/grid-view.html)
14:00:28	41456/41456	---M--	200	added ('OK')	image/jpeg	etag:%22598e46ec-a1f0%22	http://html.lionode.com/korslook/images/product/6prod281x366.jpg	C:/My%20Web%20Sites/webEcom/html.lionode.com/korslook/images/product/6prod281x366.jpg	(from http://html.lionode.com/korslook/grid-view.html)
